Gender,Type,Purchased,Vehicle Age,Mileage,MPG
Male,Mid-size,Used,15,127233,28.7
Female,Mid-size,New,1,23970,43.4
Male,Small,New,7,77392,24
Female,Large SUV,Used,14,185397,15.2
Female,Small,New,2,26001,37
Female,Minivan,New,9,180643,20
Male,Small,Used,6,72083,45.7
Male,Small,New,11,165353,42
Male,Small,Used,13,205288,33
Female,Small,New,7,142897,31
Male,Minivan,Used,14,182584,12
Male,Small SUV,Used,13,140479,20
Female,Small,New,2,22114,28
Female,Mid-size,New,0.25,3454,28.3
Female,Large SUV,New,7,130905,21
Female,Small,Used,10,105628,35
Female,Small,New,5,48678,30.4
Male,Mid-size,New,0.5,6849,40.2
Female,Small,Used,10,137941,30
Female,Small SUV,New,4,29823,24.9
Male,Small SUV,Used,14,85763,21
Female,Small,Used,12,134172,31
Male,Mid-size,Used,12,86387,27
